212484,14
238589,2
238589,15
240119,14
193014,1
225014,1
192231,10
202464,1
220895,1
222430,1
214492,14
202715,15
244186,1
226767,15
183499,15
171970,10
227764,14
225956,14
216227,14
183712,15
215700,10
222843,15
241002,1
49511,15
236390,14
232800,1
238678,15
246098,15
221511,15
243014,1
213316,15
231488,14
241970,15
185119,10
239121,15
229646,15
245003,15
200449,15
186112,15
227835,1
211195,10
188917,14
245733,15
193251,2
238050,1
156894,10
189910,15
244949,15
204499,15
216273,10
226249,10
222916,14
216260,10
232377,1
202169,14
231864,14
200375,15
233141,1
189868,14
189868,1
230561,15
156321,15
239259,15
226705,14
193166,15
152454,10
199046,10
192645,15
207744,15
201081,15
218729,1
193896,10
229733,2
229733,15
193123,15
225363,1
203851,15
214341,15
237892,2
237892,15
246845,14
228156,14
209210,15
239921,1
209447,14
208929,10
207905,1
241695,14
241695,1
233500,1
190489,14
220185,14
221972,15
156434,15
224267,15
214016,1
237823,14
234239,1
104702,15
205565,15
225013,15
216053,15
224243,1
240114,15
213488,10
221924,10
215268,15
221665,14
173530,1
219604,14
165064,15
235973,1
212420,15
224962,1
232125,1
202170,15
222889,15
244648,15
230568,2
240290,15
233372,1
227740,15
232595,10
224140,15
189833,10
226431,1
227964,1
238970,10
223095,1
235126,14
218214,15
183645,15
197981,2
197981,15
199510,15
192853,14
212819,14
192840,2
192840,15
202053,14
202053,1
221251,14
214837,15
176692,1
233520,1
239397,14
200475,15
225050,15
204816,2
184845,15
187915,2
187915,15
177915,15
169721,15
211189,15
203756,2
203756,15
183524,15
184290,2
229856,15
242142,15
198103,15
162512,15
224205,1
215240,1
186562,15
195262,15
238779,15
221605,15
209061,14
225440,14
225440,1
201374,14
203933,15
177564,1
182160,14
213644,10
12940,15
199305,15
219523,14
200067,15
203902,1
171900,15
199284,15
217203,15
226668,15
201061,14
202084,1
196953,15
239696,1
227919,15
192328,14
188996,15
212803,1
201026,15
216377,2
216377,15
229171,14
216627,2
216627,15
200236,15
234281,1
219177,1
205096,15
211746,10
221473,1
178461,10
206606,2
206606,15
186122,15
192250,15
222970,1
235513,15
223223,10
186101,15
226805,15
224494,14
224494,1
175851,15
239073,1
201925,15
